Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano,Homens,Mulheres
150390,Juruti (PA),,,,,,47086,Baixo Amazonas,2010,24578.0,22508.0
150400,Limoeiro do Ajuru (PA),,,,,,25021,Tocantins,2010,13115.0,11906.0
150405,Mãe do Rio (PA),,,,,,27904,Rio Capim,2010,13740.0,14164.0
150410,Magalhães Barata (PA),,,,,,8115,Guamá,2010,4258.0,3857.0
150420,Marabá (PA),,,,,,233669,Carajás,2010,118196.0,115473.0
150430,Maracanã (PA),,,,,,28376,Guamá,2010,14699.0,13677.0
150440,Marapanim (PA),,,,,,26605,Guamá,2010,13884.0,12721.0
150442,Marituba (PA),,,,,,108246,Guajará,2010,53884.0,54362.0
150445,Medicilândia (PA),,,,,,27328,Xingu,2010,14888.0,12440.0
150450,Melgaço (PA),,,,,,24808,Marajó,2010,13227.0,11581.0
150460,Mocajuba (PA),,,,,,26731,Tocantins,2010,13747.0,12984.0
150470,Moju (PA),,,,,,70018,Tocantins,2010,36666.0,33352.0
150480,Monte Alegre (PA),,,,,,55462,Baixo Amazonas,2010,28508.0,26954.0
150490,Muaná (PA),,,,,,34204,Marajó,2010,17906.0,16298.0
150495,Nova Esperança do Piriá (PA),,,,,,20158,Rio Capim,2010,10643.0,9515.0
150497,Nova Ipixuna (PA),,,,,,14645,Lago Tucuruí,2010,7731.0,6914.0
150500,Nova Timboteua (PA),,,,,,13670,Rio Caeté,2010,7082.0,6588.0
150503,Novo Progresso (PA),,,,,,25124,Tapajós,2010,13435.0,11689.0
150506,Novo Repartimento (PA),,,,,,62050,Lago Tucuruí,2010,32748.0,29302.0
150510,Óbidos (PA),,,,,,49333,Baixo Amazonas,2010,25563.0,23770.0
150520,Oeiras do Pará (PA),,,,,,28595,Tocantins,2010,15017.0,13578.0
150530,Oriximiná (PA),,,,,,62794,Baixo Amazonas,2010,31756.0,31038.0
150540,Ourém (PA),,,,,,16311,Rio Capim,2010,8443.0,7868.0
150543,Ourilândia do Norte (PA),,,,,,27359,Araguaia,2010,14270.0,13089.0
150548,Pacajá (PA),,,,,,39979,Xingu,2010,21599.0,18380.0
150549,Palestina do Pará (PA),,,,,,7475,Carajás,2010,3879.0,3596.0
150550,Paragominas (PA),,,,,,97819,Rio Capim,2010,49267.0,48552.0
150553,Parauapebas (PA),,,,,,153908,Carajás,2010,77893.0,76015.0
150555,Pau D'Arco (PA),,,,,,6033,Araguaia,2010,3178.0,2855.0
150560,Peixe-Boi (PA),,,,,,7854,Rio Caeté,2010,4039.0,3815.0
150563,Piçarra (PA),,,,,,12697,Carajás,2010,6776.0,5921.0
150565,Placas (PA),,,,,,23934,Xingu,2010,12568.0,11366.0
150570,Ponta de Pedras (PA),,,,,,25999,Marajó,2010,13379.0,12620.0
150580,Portel (PA),,,,,,52172,Marajó,2010,26818.0,25354.0
150590,Porto de Moz (PA),,,,,,33956,Xingu,2010,17612.0,16344.0
150600,Prainha (PA),,,,,,29349,Baixo Amazonas,2010,15516.0,13833.0
150610,Primavera (PA),,,,,,10268,Rio Caeté,2010,5300.0,4968.0
150611,Quatipuru (PA),,,,,,12411,Rio Caeté,2010,6461.0,5950.0
150613,Redenção (PA),,,,,,75556,Araguaia,2010,38016.0,37540.0
150616,Rio Maria (PA),,,,,,17697,Araguaia,2010,9161.0,8536.0
150618,Rondon do Pará (PA),,,,,,46964,Rio Capim,2010,24274.0,22690.0
150619,Rurópolis (PA),,,,,,40087,Tapajós,2010,20875.0,19212.0
150620,Salinópolis (PA),,,,,,37421,Rio Caeté,2010,19096.0,18325.0
150630,Salvaterra (PA),,,,,,20183,Marajó,2010,10292.0,9891.0
150635,Santa Bárbara do Pará (PA),,,,,,17141,Guajará,2010,8755.0,8386.0
150640,Santa Cruz do Arari (PA),,,,,,8155,Marajó,2010,4142.0,4013.0
150650,Santa Izabel do Pará (PA),,,,,,59466,Guamá,2010,31156.0,28310.0
150655,Santa Luzia do Pará (PA),,,,,,19424,Rio Caeté,2010,9884.0,9540.0
150658,Santa Maria das Barreiras (PA),,,,,,17206,Araguaia,2010,9497.0,7709.0
150660,Santa Maria do Pará (PA),,,,,,23026,Guamá,2010,11492.0,11534.0
150670,Santana do Araguaia (PA),,,,,,56153,Araguaia,2010,29788.0,26365.0
150680,Santarém (PA),,,,,,294580,Baixo Amazonas,2010,145533.0,149047.0
150690,Santarém Novo (PA),,,,,,6141,Rio Caeté,2010,3211.0,2930.0
150700,Santo Antônio do Tauá (PA),,,,,,26674,Guamá,2010,13433.0,13241.0
150710,São Caetano de Odivelas (PA),,,,,,16891,Guamá,2010,8806.0,8085.0
150715,São Domingos do Araguaia (PA),,,,,,23130,Carajás,2010,11901.0,11229.0
150720,São Domingos do Capim (PA),,,,,,29846,Guamá,2010,15741.0,14105.0
150730,São Félix do Xingu (PA),,,,,,91340,Araguaia,2010,48691.0,42649.0
150740,São Francisco do Pará (PA),,,,,,15060,Guamá,2010,7775.0,7285.0
150745,São Geraldo do Araguaia (PA),,,,,,25587,Carajás,2010,13093.0,12494.0
150746,São João da Ponta (PA),,,,,,5265,Guamá,2010,2738.0,2527.0
150747,São João de Pirabas (PA),,,,,,20647,Rio Caeté,2010,10760.0,9887.0
150750,São João do Araguaia (PA),,,,,,13155,Carajás,2010,7149.0,6006.0
150760,São Miguel do Guamá (PA),,,,,,51567,Guamá,2010,26028.0,25539.0
150770,São Sebastião da Boa Vista (PA),,,,,,22904,Marajó,2010,11833.0,11071.0
150775,Sapucaia (PA),,,,,,5047,Araguaia,2010,2710.0,2337.0
150780,Senador José Porfírio (PA),,,,,,13045,Xingu,2010,6995.0,6050.0
150790,Soure (PA),,,,,,23001,Marajó,2010,11472.0,11529.0
150795,Tailândia (PA),,,,,,79297,Tocantins,2010,40991.0,38306.0
150796,Terra Alta (PA),,,,,,10262,Guamá,2010,5272.0,4990.0
150797,Terra Santa (PA),,,,,,16949,Baixo Amazonas,2010,8776.0,8173.0
150800,Tomé-Açu (PA),,,,,,56518,Rio Capim,2010,29323.0,27195.0
150803,Tracuateua (PA),,,,,,27455,Rio Caeté,2010,14328.0,13127.0
150805,Trairão (PA),,,,,,16875,Tapajós,2010,9146.0,7729.0
150808,Tucumã (PA),,,,,,33690,Araguaia,2010,17489.0,16201.0
150810,Tucuruí (PA),,,,,,97128,Lago Tucuruí,2010,48402.0,48726.0
150812,Ulianópolis (PA),,,,,,43341,Rio Capim,2010,22209.0,21132.0
150815,Uruará (PA),,,,,,44789,Xingu,2010,23633.0,21156.0
150820,Vigia (PA),,,,,,47889,Guamá,2010,24548.0,23341.0
150830,Viseu (PA),,,,,,56716,Rio Caeté,2010,29817.0,26899.0
150835,Vitória do Xingu (PA),,,,,,13431,Xingu,2010,7281.0,6150.0
150840,Xinguara (PA),,,,,,40573,Araguaia,2010,20572.0,20001.0
