Codigo,Municipio,Idade,Total
1501303,Barcarena (PA),4 anos,2025
1501303,Barcarena (PA),6 anos,2016
1501303,Barcarena (PA),7 anos,2104
1501303,Barcarena (PA),15 anos,2191
1501303,Barcarena (PA),16 anos,2198
1501303,Barcarena (PA),17 anos,2170
1501303,Barcarena (PA),18 anos,2158
1501303,Barcarena (PA),24 anos,2008
1501303,Barcarena (PA),25 anos,2020
1501303,Barcarena (PA),34 anos,1491
1501303,Barcarena (PA),40 anos,1352
1501303,Barcarena (PA),44 anos,1042
1501303,Barcarena (PA),45 anos,964
1501303,Barcarena (PA),49 anos,850
1501303,Barcarena (PA),50 anos,887
1501303,Barcarena (PA),54 anos,631
1501303,Barcarena (PA),55 anos,623
1501303,Barcarena (PA),59 anos,428
1501303,Barcarena (PA),60 anos,478
1501303,Barcarena (PA),64 anos,327
1501303,Barcarena (PA),70 anos ou mais,2188
1501402,Belém (PA),Total,1393399
1501402,Belém (PA),Menos de 1 ano,19853
1501402,Belém (PA),3 anos,19819
1501402,Belém (PA),4 anos,20080
1501402,Belém (PA),6 anos,20026
1501402,Belém (PA),7 anos,21137
1501402,Belém (PA),15 anos,25235
1501402,Belém (PA),16 anos,25489
1501402,Belém (PA),17 anos,25007
1501402,Belém (PA),18 anos,26059
1501402,Belém (PA),24 anos,27714
1501402,Belém (PA),25 anos,27992
1501402,Belém (PA),34 anos,23077
1501402,Belém (PA),40 anos,22725
1501402,Belém (PA),44 anos,18195
1501402,Belém (PA),45 anos,18360
1501402,Belém (PA),49 anos,15541
1501402,Belém (PA),50 anos,16506
1501402,Belém (PA),54 anos,12807
1501402,Belém (PA),55 anos,12325
1501402,Belém (PA),59 anos,9944
1501402,Belém (PA),60 anos,10369
1501402,Belém (PA),64 anos,7366
1501402,Belém (PA),70 anos ou mais,56774
1501451,Belterra (PA),Total,16318
1501451,Belterra (PA),Menos de 1 ano,291
1501451,Belterra (PA),3 anos,375
1501451,Belterra (PA),4 anos,364
1501451,Belterra (PA),6 anos,421
1501451,Belterra (PA),7 anos,400
1501451,Belterra (PA),15 anos,387
1501451,Belterra (PA),16 anos,355
1501451,Belterra (PA),17 anos,324
1501451,Belterra (PA),18 anos,301
1501451,Belterra (PA),24 anos,248
1501451,Belterra (PA),25 anos,260
1501451,Belterra (PA),34 anos,214
1501451,Belterra (PA),40 anos,151
