Codigo,Municipio,RI,Ano_merge,Ano,Rural_Cadunico,Urbano_Cadunico,Rural_IBGE,Urbano_IBGE
150503,NOVO PROGRESSO,Tapajós,2022,2022.0,3145.0,13487.0,6707.0,26931.0
150506,NOVO REPARTIMENTO,Lago Tucuruí,2010,2013.0,19787.0,24155.0,34100.0,27950.0
150506,NOVO REPARTIMENTO,Lago Tucuruí,2022,2022.0,21857.0,18942.0,28043.0,32689.0
150510,ÓBIDOS,Baixo Amazonas,2010,2013.0,18917.0,19041.0,23867.0,25466.0
150510,ÓBIDOS,Baixo Amazonas,2022,2022.0,22581.0,18458.0,20530.0,31699.0
150520,OEIRAS DO PARÁ,Tocantins,2010,2013.0,13409.0,11606.0,17163.0,11432.0
150520,OEIRAS DO PARÁ,Tocantins,2022,2022.0,17658.0,13153.0,18175.0,15669.0
150530,ORIXIMINÁ,Baixo Amazonas,2010,2013.0,15343.0,25753.0,22647.0,40147.0
150530,ORIXIMINÁ,Baixo Amazonas,2022,2022.0,19370.0,26445.0,20936.0,47358.0
150540,OURÉM,Rio Capim,2010,2013.0,7383.0,6950.0,8873.0,7438.0
150540,OURÉM,Rio Capim,2022,2022.0,7364.0,7379.0,6971.0,10884.0
150543,OURILÂNDIA DO NORTE,Araguaia,2010,2013.0,3378.0,12153.0,7446.0,19913.0
150543,OURILÂNDIA DO NORTE,Araguaia,2022,2022.0,6318.0,16463.0,4972.0,27495.0
150548,PACAJÁ,Xingu,2010,2013.0,12400.0,14048.0,26232.0,13747.0
150548,PACAJÁ,Xingu,2022,2022.0,20048.0,14707.0,22133.0,18964.0
150549,PALESTINA DO PARÁ,Carajás,2010,2013.0,965.0,6021.0,2929.0,4546.0
150549,PALESTINA DO PARÁ,Carajás,2022,2022.0,1025.0,4995.0,2161.0,4724.0
150550,PARAGOMINAS,Rio Capim,2010,2013.0,9023.0,58038.0,21308.0,76511.0
150550,PARAGOMINAS,Rio Capim,2022,2022.0,9829.0,57282.0,9400.0,96150.0
150553,PARAUAPEBAS,Carajás,2010,2013.0,6263.0,73144.0,15218.0,138690.0
150553,PARAUAPEBAS,Carajás,2022,2022.0,11952.0,107852.0,9611.0,258225.0
150555,PAU DARCO,Araguaia,2010,2013.0,1334.0,3949.0,2392.0,3641.0
150555,PAU DARCO,Araguaia,2022,2022.0,2323.0,3638.0,2692.0,4239.0
150560,PEIXE-BOI,Rio Caeté,2010,2013.0,4057.0,2428.0,3685.0,4169.0
150560,PEIXE-BOI,Rio Caeté,2022,2022.0,3905.0,2108.0,3299.0,4986.0
150563,PIÇARRA,Carajás,2010,2013.0,5022.0,4477.0,9116.0,3581.0
150563,PIÇARRA,Carajás,2022,2022.0,5454.0,3242.0,7514.0,5318.0
150565,PLACAS,Xingu,2010,2013.0,7212.0,4916.0,19080.0,4854.0
150565,PLACAS,Xingu,2022,2022.0,9235.0,6450.0,10608.0,8060.0
150570,PONTA DE PEDRAS,Marajó,2010,2013.0,8938.0,11053.0,13575.0,12424.0
150570,PONTA DE PEDRAS,Marajó,2022,2022.0,10924.0,12217.0,11982.0,13002.0
150580,PORTEL,Marajó,2010,2013.0,15356.0,22976.0,27320.0,24852.0
150580,PORTEL,Marajó,2022,2022.0,26104.0,21385.0,32280.0,30223.0
150590,PORTO DE MOZ,Xingu,2010,2013.0,8521.0,13176.0,19373.0,14583.0
150590,PORTO DE MOZ,Xingu,2022,2022.0,14543.0,15523.0,20734.0,19863.0
150600,PRAINHA,Baixo Amazonas,2010,2013.0,15430.0,14054.0,20390.0,8959.0
150600,PRAINHA,Baixo Amazonas,2022,2022.0,24463.0,9705.0,17057.0,18520.0
150610,PRIMAVERA,Rio Caeté,2010,2013.0,3017.0,5463.0,3877.0,6391.0
150610,PRIMAVERA,Rio Caeté,2022,2022.0,3584.0,5547.0,3649.0,7202.0
150611,QUATIPURU,Rio Caeté,2010,2013.0,2038.0,7626.0,7098.0,5313.0
150611,QUATIPURU,Rio Caeté,2022,2022.0,3704.0,5970.0,1873.0,9651.0
150613,REDENÇÃO,Araguaia,2010,2013.0,1704.0,33550.0,5491.0,70065.0
150613,REDENÇÃO,Araguaia,2022,2022.0,3320.0,42297.0,3967.0,81630.0
150616,RIO MARIA,Araguaia,2010,2013.0,1351.0,7476.0,4185.0,13512.0
150616,RIO MARIA,Araguaia,2022,2022.0,2815.0,9103.0,4414.0,13970.0
150618,RONDON DO PARÁ,Rio Capim,2010,2013.0,4334.0,21869.0,12268.0,34696.0
150618,RONDON DO PARÁ,Rio Capim,2022,2022.0,5614.0,17083.0,19272.0,33871.0
150619,RURÓPOLIS,Tapajós,2010,2013.0,8234.0,9829.0,24814.0,15273.0
150619,RURÓPOLIS,Tapajós,2022,2022.0,10299.0,10449.0,14132.0,21637.0
150620,SALINÓPOLIS,Rio Caeté,2010,2013.0,2455.0,19590.0,4030.0,33391.0
150620,SALINÓPOLIS,Rio Caeté,2022,2022.0,3909.0,22788.0,3633.0,41139.0
150630,SALVATERRA,Marajó,2010,2013.0,10237.0,6445.0,7511.0,12672.0
150630,SALVATERRA,Marajó,2022,2022.0,11639.0,7072.0,6315.0,17814.0
150635,SANTA BÁRBARA DO PARÁ,Guajará,2010,2013.0,5922.0,8800.0,11683.0,5458.0
150635,SANTA BÁRBARA DO PARÁ,Guajará,2022,2022.0,6491.0,9652.0,7323.0,13764.0
150640,SANTA CRUZ DO ARARI,Marajó,2010,2013.0,1505.0,3073.0,4161.0,3994.0
150640,SANTA CRUZ DO ARARI,Marajó,2022,2022.0,4071.0,2756.0,1175.0,6270.0
150650,SANTA IZABEL DO PARÁ,Guamá,2010,2013.0,9686.0,27622.0,16466.0,43000.0
150650,SANTA IZABEL DO PARÁ,Guamá,2022,2022.0,12866.0,23307.0,14349.0,58670.0
150655,SANTA LUZIA DO PARÁ,Rio Caeté,2010,2013.0,8487.0,9304.0,10731.0,8693.0
