Codigo,Municipio_cad,Branca_cadunico,Preta_cadunico,Amarela_cadunico,Parda_cadunico,Indigena_cadunico,NoData_cadunico,RI_cad,Municipio_ibge,Branca_geral,Preta_geral,Amarela_geral,Parda_geral,Indigena_geral,Total_geral,RI_ibge,Ano
150309,GOIANÉSIA DO PARÁ,2730.0,1108.0,77.0,18960.0,68.0,220.0,Lago Tucuruí,Goianésia do Pará (PA),7556.0,2700.0,259,19867.0,54,30436.0,Lago Tucuruí,2010.0
150309,GOIANÉSIA DO PARÁ,2462.0,743.0,86.0,17104.0,83.0,5.0,Lago Tucuruí,Goianésia do Pará (PA),5095.0,2860.0,15,18279.0,112,26362.0,Lago Tucuruí,2022.0
150310,GURUPÁ,2091.0,420.0,64.0,20448.0,32.0,26.0,Marajó,Gurupá (PA),5377.0,1435.0,545,21703.0,2,29062.0,Marajó,2010.0
150310,GURUPÁ,1863.0,349.0,198.0,28294.0,18.0,1.0,Marajó,Gurupá (PA),5092.0,1992.0,8,24643.0,51,31786.0,Marajó,2022.0
150320,IGARAPÉ-AÇU,788.0,265.0,37.0,21666.0,14.0,344.0,Guamá,Igarapé-Açu (PA),7384.0,1429.0,362,26697.0,15,35887.0,Guamá,2010.0
150320,IGARAPÉ-AÇU,1621.0,416.0,64.0,25170.0,11.0,3.0,Guamá,Igarapé-Açu (PA),6803.0,2108.0,105,26754.0,25,35797.0,Guamá,2022.0
150330,IGARAPÉ-MIRI,4556.0,1434.0,165.0,41244.0,15.0,429.0,Tocantins,Igarapé-Miri (PA),13278.0,4536.0,294,39964.0,5,58077.0,Tocantins,2010.0
150330,IGARAPÉ-MIRI,5667.0,2071.0,121.0,42199.0,10.0,2.0,Tocantins,Igarapé-Miri (PA),11507.0,11062.0,24,42215.0,23,64831.0,Tocantins,2022.0
150340,INHANGAPI,369.0,590.0,6.0,6246.0,6.0,115.0,Guamá,Inhangapi (PA),1127.0,1316.0,62,7531.0,1,10037.0,Guamá,2010.0
150340,INHANGAPI,430.0,513.0,10.0,6961.0,8.0,1.0,Guamá,Inhangapi (PA),1030.0,1569.0,10,7709.0,7,10325.0,Guamá,2022.0
150345,IPIXUNA DO PARÁ,1291.0,697.0,40.0,20358.0,19.0,324.0,Rio Capim,Ipixuna do Pará (PA),7181.0,3296.0,545,40082.0,205,51309.0,Rio Capim,2010.0
150345,IPIXUNA DO PARÁ,1719.0,819.0,73.0,24174.0,15.0,5.0,Rio Capim,Ipixuna do Pará (PA),4748.0,3052.0,26,22468.0,35,30329.0,Rio Capim,2022.0
150350,IRITUIA,901.0,419.0,48.0,22822.0,10.0,139.0,Rio Capim,Irituia (PA),5280.0,1791.0,111,24178.0,4,31364.0,Rio Capim,2010.0
150350,IRITUIA,1162.0,523.0,122.0,24218.0,6.0,1.0,Rio Capim,Irituia (PA),4224.0,3023.0,34,23661.0,12,30955.0,Rio Capim,2022.0
150360,ITAITUBA,5962.0,4761.0,245.0,53518.0,734.0,828.0,Tapajós,Itaituba (PA),21789.0,10457.0,947,63510.0,790,97493.0,Tapajós,2010.0
150360,ITAITUBA,6697.0,4603.0,455.0,63335.0,1260.0,13.0,Tapajós,Itaituba (PA),23860.0,13079.0,135,84202.0,2035,123314.0,Tapajós,2022.0
150370,ITUPIRANGA,3798.0,2446.0,137.0,30714.0,134.0,303.0,Lago Tucuruí,Itupiranga (PA),11022.0,4680.0,668,34503.0,347,51220.0,Lago Tucuruí,2010.0
150370,ITUPIRANGA,4037.0,2252.0,160.0,29863.0,374.0,5.0,Lago Tucuruí,Itupiranga (PA),9112.0,6270.0,62,33868.0,442,49754.0,Lago Tucuruí,2022.0
150375,JACAREACANGA,461.0,260.0,17.0,2717.0,8097.0,21.0,Tapajós,Jacareacanga (PA),2209.0,2090.0,93,3868.0,5843,14103.0,Tapajós,2010.0
150375,JACAREACANGA,957.0,403.0,25.0,4304.0,11626.0,0.0,Tapajós,Jacareacanga (PA),1854.0,1214.0,17,7141.0,13816,24042.0,Tapajós,2022.0
150380,JACUNDÁ,2374.0,1245.0,84.0,25156.0,31.0,260.0,Lago Tucuruí,Jacundá (PA),12589.0,3959.0,403,34340.0,69,51360.0,Lago Tucuruí,2010.0
150380,JACUNDÁ,3017.0,1263.0,136.0,24345.0,45.0,3.0,Lago Tucuruí,Jacundá (PA),7819.0,4488.0,62,25293.0,42,37707.0,Lago Tucuruí,2022.0
150390,JURUTI,1486.0,106.0,56.0,32744.0,35.0,331.0,Baixo Amazonas,Juruti (PA),6340.0,1596.0,820,38230.0,100,47086.0,Baixo Amazonas,2010.0
150390,JURUTI,1712.0,143.0,109.0,31390.0,49.0,2.0,Baixo Amazonas,Juruti (PA),6241.0,2538.0,69,41921.0,112,50881.0,Baixo Amazonas,2022.0
150400,LIMOEIRO DO AJURU,3292.0,15.0,6.0,18857.0,0.0,71.0,Tocantins,Limoeiro do Ajuru (PA),5105.0,973.0,54,18889.0,-,25021.0,Tocantins,2010.0
150400,LIMOEIRO DO AJURU,2662.0,77.0,36.0,22417.0,8.0,1.0,Tocantins,Limoeiro do Ajuru (PA),5112.0,1146.0,2,23296.0,13,29569.0,Tocantins,2022.0
150405,MÃE DO RIO,2432.0,1121.0,44.0,21728.0,13.0,245.0,Rio Capim,Mãe do Rio (PA),6082.0,1425.0,395,19986.0,16,27904.0,Rio Capim,2010.0
150405,MÃE DO RIO,2208.0,857.0,62.0,22051.0,16.0,1.0,Rio Capim,Mãe do Rio (PA),6601.0,2909.0,50,24779.0,13,34353.0,Rio Capim,2022.0
150410,MAGALHÃES BARATA,367.0,72.0,5.0,6019.0,4.0,65.0,Guamá,Magalhães Barata (PA),1760.0,142.0,35,6177.0,1,8115.0,Guamá,2010.0
150410,MAGALHÃES BARATA,563.0,61.0,18.0,5797.0,3.0,0.0,Guamá,Magalhães Barata (PA),1314.0,379.0,-,6421.0,1,8115.0,Guamá,2022.0
150420,MARABÁ,7172.0,5840.0,429.0,102881.0,110.0,2003.0,Carajás,Marabá (PA),49012.0,18608.0,2419,163154.0,473,233669.0,Carajás,2010.0
150420,MARABÁ,8364.0,5999.0,515.0,124856.0,159.0,31.0,Carajás,Marabá (PA),48548.0,26407.0,266,190750.0,552,266533.0,Carajás,2022.0
150430,MARACANÃ,1572.0,139.0,17.0,22306.0,4.0,163.0,Guamá,Maracanã (PA),6114.0,712.0,45,21484.0,21,28376.0,Guamá,2010.0
150430,MARACANÃ,1503.0,114.0,28.0,23968.0,15.0,1.0,Guamá,Maracanã (PA),4279.0,1361.0,5,20309.0,16,25971.0,Guamá,2022.0
150440,MARAPANIM,2390.0,425.0,13.0,15650.0,46.0,97.0,Guamá,Marapanim (PA),5759.0,745.0,33,20062.0,6,26605.0,Guamá,2010.0
150440,MARAPANIM,2417.0,298.0,59.0,16869.0,30.0,1.0,Guamá,Marapanim (PA),4166.0,1385.0,2,21013.0,7,26573.0,Guamá,2022.0
150442,MARITUBA,6361.0,2412.0,137.0,52130.0,46.0,982.0,Guajará,Marituba (PA),24091.0,9024.0,627,74399.0,105,108246.0,Guajará,2010.0
150442,MARITUBA,8140.0,2956.0,510.0,66072.0,133.0,9.0,Guajará,Marituba (PA),22505.0,11256.0,117,77809.0,94,111785.0,Guajará,2022.0
